miRNA,gene
hsa-miR-219-5p_st,LSM10
hsa-miR-219-5p_st,MMS19
hsa-miR-219-5p_st,NUMB
hsa-miR-219-5p_st,OS9
hsa-miR-219-5p_st,P4HA1
hsa-miR-219-5p_st,PODXL
hsa-miR-219-5p_st,ATL2
hsa-miR-219-5p_st,PPP1R14B
hsa-miR-219-5p_st,PPP2CA
hsa-miR-219-5p_st,SAV1
hsa-miR-219-5p_st,SIPA1L1
hsa-miR-219-5p_st,SLC31A1
hsa-miR-219-5p_st,SLC35F5
hsa-miR-219-5p_st,SMC4
hsa-miR-219-5p_st,SPTBN1
hsa-miR-219-5p_st,TMEM189
hsa-miR-219-5p_st,TNPO3
hsa-miR-219-5p_st,UBE2H
hsa-miR-219-5p_st,UBE2N
hsa-miR-219-5p_st,CAPS
hsa-miR-222_st,CC2D1B
hsa-miR-222_st,CCT4
hsa-miR-222_st,CDH4
hsa-miR-222_st,CPPED1
hsa-miR-222_st,CTCF
hsa-miR-222_st,CTTN
hsa-miR-222_st,CUX2
hsa-miR-222_st,CXCR5
hsa-miR-222_st,DGKG
hsa-miR-222_st,DMRT3
hsa-miR-222_st,DNAJA2
hsa-miR-222_st,DNAJC14
hsa-miR-222_st,AIDA
hsa-miR-222_st,E2F2
hsa-miR-222_st,AJAP1
hsa-miR-222_st,EGFR
hsa-miR-222_st,ELP4
hsa-miR-222_st,EMX2
hsa-miR-222_st,ESR1
hsa-miR-222_st,ALG14
hsa-miR-222_st,FAM53B
hsa-miR-222_st,ALG6
hsa-miR-222_st,FKBP9
hsa-miR-222_st,AMIGO1
hsa-miR-222_st,AMMECR1
hsa-miR-222_st,FRAT2
hsa-miR-222_st,GATA4
hsa-miR-222_st,GGA2
hsa-miR-222_st,GHR
hsa-miR-222_st,GPR12
hsa-miR-222_st,GRB10
hsa-miR-222_st,GRM1
hsa-miR-222_st,HCN4
hsa-miR-222_st,HECTD2
hsa-miR-222_st,HNRNPH3
hsa-miR-222_st,HOXA7
hsa-miR-222_st,IRX5
hsa-miR-222_st,KCNQ3
hsa-miR-222_st,KDM5B
hsa-miR-222_st,KIAA0368
hsa-miR-222_st,KIAA0430
hsa-miR-222_st,LRRC14
hsa-miR-222_st,LYSMD1
hsa-miR-222_st,ARHGAP28
hsa-miR-222_st,MCTS1
hsa-miR-222_st,MDM4
hsa-miR-222_st,MESDC1
hsa-miR-222_st,MLXIP
hsa-miR-222_st,ARID1A
hsa-miR-222_st,MYEF2
hsa-miR-222_st,NAP1L2
hsa-miR-222_st,NDST3
hsa-miR-222_st,NIPAL4
hsa-miR-222_st,NNT
hsa-miR-222_st,NOVA1
hsa-miR-222_st,NR4A1
hsa-miR-222_st,NSMCE4A
hsa-miR-222_st,NSUN4
hsa-miR-222_st,OIP5
hsa-miR-222_st,PACS2
hsa-miR-222_st,PAK1
hsa-miR-222_st,PCDHAC1
hsa-miR-222_st,PDGFA
hsa-miR-222_st,PEG3
hsa-miR-222_st,PHF12
hsa-miR-222_st,PHF2
hsa-miR-222_st,PLD5
hsa-miR-222_st,PNO1
hsa-miR-222_st,POGZ
hsa-miR-222_st,POLR3E
hsa-miR-222_st,PRRG3
hsa-miR-222_st,PRUNE
hsa-miR-222_st,PTPMT1
hsa-miR-222_st,PTPN3
hsa-miR-222_st,PTS
hsa-miR-222_st,RBL1
hsa-miR-222_st,ATPAF1
hsa-miR-222_st,RECK
hsa-miR-222_st,ATXN7
hsa-miR-222_st,RND2
hsa-miR-222_st,RNPS1
hsa-miR-222_st,AXIN2
hsa-miR-222_st,RREB1
hsa-miR-222_st,SCD5
hsa-miR-222_st,SEC23IP
hsa-miR-222_st,SH3BP4
hsa-miR-222_st,SHC3
hsa-miR-222_st,SHISA9
hsa-miR-222_st,SKOR1
hsa-miR-222_st,SLC16A6
hsa-miR-222_st,BBC3
hsa-miR-222_st,SLC25A37
hsa-miR-222_st,SLITRK5
hsa-miR-222_st,SMC1A
hsa-miR-222_st,SNCB
hsa-miR-222_st,SOCS1
hsa-miR-222_st,SOX1
hsa-miR-222_st,SOX10
hsa-miR-222_st,SOX18
hsa-miR-222_st,BEAN1
hsa-miR-222_st,SPPL3
hsa-miR-222_st,SRCIN1
hsa-miR-222_st,SRSF2
hsa-miR-222_st,STOX2
hsa-miR-222_st,STX1B
hsa-miR-222_st,SUN2
hsa-miR-222_st,TBC1D22B
hsa-miR-222_st,TCF24
hsa-miR-222_st,TCF3
hsa-miR-222_st,TRIB2
hsa-miR-222_st,TRIM71
hsa-miR-222_st,ACSL6
hsa-miR-222_st,UBL4A
hsa-miR-222_st,ULK2
hsa-miR-222_st,USP49
hsa-miR-222_st,WDR47
hsa-miR-222_st,WRN
hsa-miR-222_st,ZBTB39
hsa-miR-222_st,C16orf45
hsa-miR-222_st,ZNF618
hsa-miR-222_st,ZSWIM4
hsa-miR-222_st,C2CD2
hsa-miR-222_st,C3orf70
hsa-miR-222_st,CABP7
hsa-miR-222_st,ADAM11
hsa-miR-222_st,CAMKK1
hsa-miR-222_st,CASZ1
hsa-miR-28-5p_st,SRPRB
hsa-miR-105_st,FGF9
hsa-miR-105_st,LEFTY2
hsa-miR-105_st,LMX1A
hsa-miR-105_st,MARCH11
hsa-miR-105_st,OPCML
hsa-miR-105_st,TANC2
hsa-miR-300_st,CFTR
hsa-miR-300_st,CXXC4
hsa-miR-300_st,DDX6
hsa-miR-300_st,DIO2
hsa-miR-300_st,DNALI1
hsa-miR-300_st,DVL2
hsa-miR-300_st,ELOVL7
hsa-miR-300_st,EML1
hsa-miR-300_st,EPB41
hsa-miR-300_st,FAM175A
hsa-miR-300_st,FKBP5
hsa-miR-300_st,GAS2
hsa-miR-300_st,GIN1
hsa-miR-300_st,GPR34
hsa-miR-300_st,HAT1
hsa-miR-300_st,HIC1
hsa-miR-300_st,IL15RA
hsa-miR-300_st,IQSEC2
hsa-miR-300_st,JAG2
hsa-miR-300_st,APC
hsa-miR-300_st,KCTD12
hsa-miR-300_st,KIF3A
hsa-miR-300_st,MALT1
hsa-miR-300_st,MARCH1
hsa-miR-300_st,ARHGAP44
